stock,client_name,exchange,deal_type,action,date,avg_price,quantity,percentage_traded
ITC Ltd.,HSBC GLOBAL INVESTMENT FU NDS MAURITIUS LTD,BSE,Block,Purchase,15-09-2016,253,761663,0.01%
ITC Ltd.,HSBC GLOBAL INVESTMENT FU NDS MAURITIUS LTD,BSE,Block,Purchase,07-09-2016,262.75,510000,0.00%
Afcons Infrastructure Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,04-11-2024,443.65,2529066,0.69%
ideaForge Technology Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,10-10-2024,657.67,649507,1.51%
R Systems International Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,04-10-2024,465.15,2845189,2.40%
Nuvama Wealth Management Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,27-09-2024,6702.6,324539,0.91%
Nuvama Wealth Management Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,27-09-2024,6702.6,324539,0.91%
Five-Star Business Finance Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,26-09-2024,800.5,709804,0.24%
India Shelter Finance Corporation Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,16-09-2024,752.35,742392,0.69%
Arvind Fashions Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,11-09-2024,574.73,1311062,0.98%
Arvind Fashions Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,11-09-2024,580.71,1006382,0.76%
Medi Assist Healthcare Services Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,03-09-2024,611.7,1155631,1.64%
Medi Assist Healthcare Services Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Block,Purchase,03-09-2024,611.7,1155631,1.64%
Bajaj Consumer Care Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,05-08-2024,256.02,2418186,1.76%
Archean Chemical Industries Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,27-06-2024,658,628128,0.51%
Restaurant Brands Asia Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Sell,25-06-2024,104.05,4797361,0.96%
CarTrade Tech Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,24-06-2024,828,619960,1.31%
Spandana Sphoorty Financial Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,18-06-2024,760,1034598,1.45%
Restaurant Brands Asia Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Sell,14-06-2024,105.53,4059827,0.81%
Awfis Space Solutions Ltd,GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,NSE,Bulk,Purchase,30-05-2024,438.18,1075039,1.52%
TBO Tek Ltd.,GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,NSE,Bulk,Purchase,15-05-2024,1411.35,653187,0.60%
Mold-Tek Packaging Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,14-03-2024,804.98,236368,0.71%
Praveg Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,11-03-2024,850,534171,2.34%
Eureka Forbes Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,22-02-2024,504.95,2345220,1.21%
Eureka Forbes Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,22-02-2024,504.95,2345220,1.21%
Devyani International Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Block,Purchase,21-02-2024,164.1,1851955,0.15%
Bharat Petroleum Corporation Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,14-02-2024,584,411885,0.01%
Kalyan Jewellers India Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,08-02-2024,334,5847101,0.57%
Kalyan Jewellers India Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Block,Purchase,08-02-2024,334,5847101,0.57%
Paradeep Phosphates Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,08-02-2024,76.05,7474568,0.92%
Avalon Technologies Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,08-02-2024,474.01,1493822,2.26%
Medi Assist Healthcare Services Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,23-01-2024,468.65,1534472,2.18%
Pricol Ltd.,GOLDMAN SACHS INDIA LIMITED,NSE,Bulk,Purchase,17-01-2024,343.5,1490024,1.22%
Pricol Ltd.,GOLDMAN SACHS INDIA LIMITED,NSE,Block,Purchase,17-01-2024,343.5,1490024,1.22%
India Shelter Finance Corporation Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,20-12-2023,593.08,591027,0.55%
Archean Chemical Industries Ltd.,GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,NSE,Bulk,Purchase,18-12-2023,600,623609,0.51%
Pricol Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Bulk,Purchase,08-12-2023,333,2894619,2.37%
Mahindra Logistics Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,08-12-2023,376.19,592042,0.82%
ASK Automotive Ltd.,GOLDMANSACHS FUNDS GOLDMANSACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,15-11-2023,310.05,2320653,1.18%
IKIO Lighting Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,06-11-2023,346.77,634055,0.82%
CMS Info Systems Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,10-08-2023,356,1190527,0.72%
360 One Wam Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,08-08-2023,500,1492910,0.38%
360 One Wam Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,08-08-2023,500,222992,0.06%
Spandana Sphoorty Financial Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,31-07-2023,830,357532,0.50%
Landmark Cars Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,23-06-2023,658,277850,0.67%
Landmark Cars Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Block,Purchase,23-06-2023,658,277850,0.67%
Avalon Technologies Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,18-04-2023,412.91,350230,0.53%
Landmark Cars Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,23-12-2022,466.55,392421,0.95%
Sula Vineyards Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,22-12-2022,351.48,695864,0.82%
Kaynes Technology India Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,22-11-2022,705.28,466038,0.73%
Bikaji Foods International Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,16-11-2022,324.5,1745354,0.70%
Paradeep Phosphates Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,27-05-2022,45.95,4132211,0.51%
C.E. Info Systems Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,21-12-2021,1392.99,376708,0.69%
RateGain Travel Technologies Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,17-12-2021,361.71,719727,0.61%
SJS Enterprises Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,15-11-2021,527.04,254786,0.82%
APL Apollo Tubes Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,05-10-2021,870.9,2908770,1.05%
APL Apollo Tubes Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Bulk,Sell,05-10-2021,870.9,2908770,1.05%
APL Apollo Tubes Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,05-10-2021,870.9,2908770,1.05%
APL Apollo Tubes Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,05-10-2021,870.9,2908770,1.05%
ICICI Bank Ltd.,GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,BSE,Block,Purchase,28-09-2021,729.9,4734822,0.07%
ICICI Bank Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,28-09-2021,729.9,4734822,0.07%
Reliance Industries Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,28-09-2021,2525.2,900000,0.01%
Reliance Industries Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,28-09-2021,2525.2,900000,0.01%
Sundram Fasteners Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,28-09-2021,908.7,1011052,0.48%
Sundram Fasteners Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,28-09-2021,908.7,1011052,0.48%
Tata Communications Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,28-09-2021,1427.55,200000,0.07%
Tata Communications Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,28-09-2021,1427.55,200000,0.07%
Tube Investments of India Ltd.,GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,BSE,Block,Purchase,28-09-2021,1438.7,675107,0.35%
Tube Investments of India Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,28-09-2021,1438.7,675107,0.35%
Stove Kraft Ltd.,GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,BSE,Block,Purchase,28-09-2021,943.35,957763,2.90%
Stove Kraft Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,28-09-2021,943.35,957763,2.90%
Sonata Software Ltd.,GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,BSE,Bulk,Purchase,24-09-2021,922.6,998925,0.36%
Sonata Software Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Bulk,Sell,24-09-2021,922.6,998925,0.36%
Sonata Software Ltd.,GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,BSE,Block,Purchase,24-09-2021,922.6,998925,0.36%
Sonata Software Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,24-09-2021,922.6,998925,0.36%
Tata Communications Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,24-09-2021,1460.2,1003500,0.35%
Tata Communications Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,24-09-2021,1460.2,1003500,0.35%
Tata Power Company Ltd.,GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,BSE,Block,Purchase,24-09-2021,143.65,10839103,0.34%
Tata Power Company Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,24-09-2021,143.65,10839103,0.34%
Torrent Pharmaceuticals Ltd.,GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,BSE,Block,Purchase,24-09-2021,3102.2,377285,0.11%
Torrent Pharmaceuticals Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,24-09-2021,3102.2,377285,0.11%
Trent Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,24-09-2021,1009.7,785616,0.22%
Trent Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,24-09-2021,1009.7,785616,0.22%
Zensar Technologies Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,24-09-2021,508,2575839,1.14%
Zensar Technologies Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Bulk,Sell,24-09-2021,508,2575839,1.14%
Zensar Technologies Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,24-09-2021,508,2575839,1.14%
Zensar Technologies Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,24-09-2021,508,2575839,1.14%
Route Mobile Ltd.,GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,BSE,Bulk,Purchase,24-09-2021,1998.35,874445,1.39%
Route Mobile Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Bulk,Sell,24-09-2021,1998.35,874445,1.39%
Route Mobile Ltd.,GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,BSE,Block,Purchase,24-09-2021,1998.35,874445,1.39%
Route Mobile Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,24-09-2021,1998.35,874445,1.39%
ICICI Bank Ltd.,GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,BSE,Block,Purchase,22-09-2021,711.25,11700000,0.17%
ICICI Bank Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,22-09-2021,711.25,11700000,0.17%
Persistent Systems Ltd.,GOLDMAN SACHS FUNDS  GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,20-09-2021,3539.35,402479,0.26%
Persistent Systems Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,20-09-2021,3539.35,402479,0.26%
State Bank of India,GOLDMAN SACHS FUNDS  GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,20-09-2021,454.05,6706742,0.08%
State Bank of India,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,20-09-2021,454.05,6706742,0.08%
PNC Infratech Ltd.,GOLDMAN SACHS FUNDS  GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,20-09-2021,369.45,4407843,1.72%
PNC Infratech Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,20-09-2021,369.45,4407843,1.72%
SBI Cards and Payment Services Ltd.,GOLDMAN SACHS FUNDS  GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,20-09-2021,1078,1408831,0.15%
SBI Cards and Payment Services Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,20-09-2021,1078,1408831,0.15%
Rossari Biotech Ltd.,GOLDMAN SACHS FUNDS  GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,20-09-2021,1478.65,666135,1.20%
Rossari Biotech Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,20-09-2021,1478.65,666135,1.20%
RailTel Corporation of India Ltd.,GOLDMAN SACHS FUNDS  GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,20-09-2021,130.65,6963219,2.17%
RailTel Corporation of India Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,20-09-2021,130.65,6963219,2.17%
CarTrade Tech Ltd.,GOLDMAN SACHS FUNDS  GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,20-09-2021,1452.25,162234,0.34%
CarTrade Tech Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,20-09-2021,1452.25,162234,0.34%
Lupin Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,16-09-2021,989.8,1265614,0.28%
Lupin Ltd.,GOLDMAN SACHS ASSET MANAGEMENT LLC A/C GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,16-09-2021,989.8,1265614,0.28%
Marico Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,16-09-2021,561.75,3098442,0.24%
Marico Ltd.,GOLDMAN SACHS ASSET MANAGEMENT LLC A/C GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,16-09-2021,561.75,3098442,0.24%
Syngene International Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,16-09-2021,666.2,1815280,0.45%
Syngene International Ltd.,GOLDMAN SACHS ASSET MANAGEMENT LLC A/C GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,16-09-2021,666.2,1815280,0.45%
L&T Technology Services Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,16-09-2021,4573.2,412348,0.39%
L&T Technology Services Ltd.,GOLDMAN SACHS ASSET MANAGEMENT LLC A/C GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,16-09-2021,4573.2,412348,0.39%
Mahindra Logistics Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,16-09-2021,713.85,1630031,2.26%
Mahindra Logistics Ltd.,GOLDMAN SACHS ASSET MANAGEMENT LLC A/C GOLDMAN SACHS INDIA FUND LIMITED,BSE,Bulk,Sell,16-09-2021,713.85,1630031,2.26%
Mahindra Logistics Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,16-09-2021,713.85,1630031,2.26%
Mahindra Logistics Ltd.,GOLDMAN SACHS ASSET MANAGEMENT LLC A/C GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,16-09-2021,713.85,1630031,2.26%
Newgen Software Technologies Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,16-09-2021,607.85,2678786,1.91%
Newgen Software Technologies Ltd.,GOLDMAN SACHS ASSET MANAGEMENT LLC A/C GOLDMAN SACHS INDIA FUND LIMITED,BSE,Bulk,Sell,16-09-2021,607.85,2678786,1.91%
Newgen Software Technologies Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,16-09-2021,607.85,2678786,1.91%
Newgen Software Technologies Ltd.,GOLDMAN SACHS ASSET MANAGEMENT LLC A/C GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,16-09-2021,607.85,2678786,1.91%
Laxmi Organic Industries Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,16-09-2021,598.15,1995234,0.73%
Laxmi Organic Industries Ltd.,GOLDMAN SACHS ASSET MANAGEMENT LLC A/C GOLDMAN SACHS INDIA FUND LIMITED,BSE,Bulk,Sell,16-09-2021,598.15,1995234,0.73%
Laxmi Organic Industries Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,16-09-2021,598.15,1995234,0.73%
Laxmi Organic Industries Ltd.,GOLDMAN SACHS ASSET MANAGEMENT LLC A/C GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,16-09-2021,598.15,1995234,0.73%
JK Cement Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,14-09-2021,3471.85,346260,0.45%
JK Cement Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,14-09-2021,3471.85,346260,0.45%
Kajaria Ceramics Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,14-09-2021,1172.6,1362000,0.86%
Kajaria Ceramics Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Bulk,Sell,14-09-2021,1172.6,1362000,0.86%
Kajaria Ceramics Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,14-09-2021,1172.6,1362000,0.86%
Kajaria Ceramics Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,14-09-2021,1172.6,1362000,0.86%
KEI Industries Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,14-09-2021,804.9,1472757,1.63%
KEI Industries Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Bulk,Sell,14-09-2021,804.9,1472757,1.63%
KEI Industries Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,14-09-2021,804.9,1472757,1.63%
KEI Industries Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,14-09-2021,804.9,1472757,1.63%
Kotak Mahindra Bank Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,14-09-2021,1836.8,1424768,0.07%
Kotak Mahindra Bank Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,14-09-2021,1836.8,1424768,0.07%
ISGEC Heavy Engineering Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,14-09-2021,729.45,1383655,1.88%
ISGEC Heavy Engineering Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Bulk,Sell,14-09-2021,729.45,1383655,1.88%
ISGEC Heavy Engineering Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,14-09-2021,729.45,1383655,1.88%
ISGEC Heavy Engineering Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,14-09-2021,729.45,1383655,1.88%
Sona BLW Precision Forgings Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,14-09-2021,583.55,3553374,0.57%
Sona BLW Precision Forgings Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Bulk,Sell,14-09-2021,583.55,3553374,0.57%
Sona BLW Precision Forgings Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,14-09-2021,583.55,3553374,0.57%
Sona BLW Precision Forgings Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,14-09-2021,583.55,3553374,0.57%
Devyani International Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,14-09-2021,115.2,3714480,0.31%
Devyani International Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,14-09-2021,115.2,3714480,0.31%
Brigade Enterprises Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,09-09-2021,401.45,1417910,0.58%
Brigade Enterprises Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Bulk,Sell,09-09-2021,401.45,1417910,0.58%
Brigade Enterprises Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,09-09-2021,401.45,1417910,0.58%
Brigade Enterprises Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,09-09-2021,401.45,1417910,0.58%
Escorts Kubota Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,09-09-2021,1383,481324,0.43%
Escorts Kubota Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,09-09-2021,1383,481324,0.43%
Federal Bank Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,09-09-2021,83.05,11339015,0.46%
Federal Bank Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Bulk,Sell,09-09-2021,83.05,11339015,0.46%
Federal Bank Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,09-09-2021,83.05,11339015,0.46%
Federal Bank Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Block,Sell,09-09-2021,83.05,11339015,0.46%
Gujarat Gas Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,09-09-2021,688.9,2433514,0.35%
Gujarat Gas Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,09-09-2021,688.9,2433514,0.35%
HDFC Bank Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,09-09-2021,1577.1,787098,0.01%
HDFC Bank Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,09-09-2021,1577.1,787098,0.01%
