stock,client_name,exchange,deal_type,action,date,avg_price,quantity,percentage_traded
Sansera Engineering Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,19-06-2024,1200,358343,0.58%
Sansera Engineering Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,19-06-2024,1200,358343,0.58%
InterGlobe Aviation Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,13-06-2024,4300.4,521183,0.13%
MphasiS Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,10-06-2024,2363,1061500,0.56%
KFIN Technologies Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,30-05-2024,712.5,2035279,1.19%
R R Kabel Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,30-05-2024,1701.1,97987,0.09%
PNB Housing Finance Ltd.,SOCIETE GENERALE,BSE,Bulk,Purchase,29-05-2024,724.55,1308680,0.50%
Timken India Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,28-05-2024,3913.35,52000,0.07%
Star Health and Allied Insurance Company Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-05-2024,535,500000,0.09%
Apollo Tyres Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,22-05-2024,477.35,2811350,0.44%
PB Fintech Ltd.,SOCIETE GENERALE - ODI,NSE,Block,Purchase,17-05-2024,1325.15,1595000,0.35%
Jindal Saw Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,16-05-2024,541.45,200000,0.03%
Cipla Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,15-05-2024,1345,508500,0.06%
Jindal Saw Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,10-05-2024,525,200000,0.03%
ICICI Lombard General Insurance Company Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,09-05-2024,1722.5,110000,0.02%
ACC Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,2579.6,119588,0.06%
Oberoi Realty Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,1474.2,271901,0.07%
Oracle Financial Services Software Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,7143.05,63061,0.07%
Oil India Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,612.5,1535836,0.09%
Shriram Finance Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,2491.85,91197,0.02%
Alkem Laboratories Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,4867.65,103803,0.09%
KPIT Technologies Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,1373.95,1021271,0.37%
FSN E-Commerce Ventures Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,178.1,8470535,0.30%
Bank of Baroda,SOCIETE GENERALE,NSE,Bulk,Purchase,23-04-2024,261.3,32638297,0.63%
Bank of Baroda,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,261.3,32638297,0.63%
Bank of India,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,141.25,2566792,0.06%
Canara Bank,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,599.8,7040712,0.08%
Manappuram Finance Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,23-04-2024,191,7358579,0.87%
Manappuram Finance Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,191,7358579,0.87%
Power Finance Corporation Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,404.35,3058591,0.09%
Prestige Estates Projects Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,1242.9,219284,0.05%
REC Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,434.5,1258494,0.05%
Union Bank of India,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,150.6,12664410,0.17%
PNB Housing Finance Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,769.9,230477,0.09%
Bandhan Bank Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,23-04-2024,180.8,12116098,0.75%
Bandhan Bank Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,180.8,12116098,0.75%
ICICI Securities Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,723.15,317816,0.10%
Chalet Hotels Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,887.55,130585,0.06%
Zomato Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,193.35,2624714,0.03%
Devyani International Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,163,1792817,0.15%
PB Fintech Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,1201.7,379064,0.08%
Vedant Fashions Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,932.9,370643,0.15%
Life Insurance Corporation of India,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,974.6,141807,0.00%
Campus Activewear Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,233.5,737249,0.24%
Bikaji Foods International Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,514.05,246568,0.10%
Nexus Select Trust REIT,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,133.86,1995349,0.13%
Samhi Hotels Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-04-2024,193.45,797045,0.36%
Axis Bank Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,09-04-2024,1071,6250000,0.20%
Brace Port Logistics Ltd.,SELVAMURTHY    AKILANDESWARI,NSE,Bulk,Purchase,29-08-2024,181.76,73600,0.65%
Rajputana Industries Ltd.,SELVAMURTHY    AKILANDESWARI,NSE,Bulk,Purchase,12-08-2024,91.52,123000,0.55%
